#Generated on Thu, 26 Feb 2015 16:08:47 CET 
#Registered probes: 12790
#Connected probes: 7672
#No.:ASN:Holder:Count of registered probes:Count of connected probes:Cumulative probability of connected probes
283:12337:NORIS-NETWORK noris network AG,DE:4:4:0.5851
284:37090:ISOCEL,BJ:11:4:0.5856
285:15965:AS15965 CEGECOM SA - Luxembourg,LU:4:4:0.5862
286:34123:NETORN-AS Netorn LLC,RU:4:4:0.5867
287:8334:CO-2COM-AS 2COM Co ltd.,RU:6:4:0.5872
288:1916:Associação Rede Nacional de Ensino e Pesquisa,BR:4:4:0.5877
289:42652:DELUNET inexio Informationstechnologie und TelekommunikationKGaA,DE:4:4:0.5882
290:33588:BRESNAN-AS - Charter Communications,US:4:4:0.5888
291:15685:CASABLANCA-AS Casablanca INT Autonomous system,CZ:4:4:0.5893
292:49800:GNC-ALFA GNC-ALFA CJSC,AM:4:4:0.5898
293:41440:SIBIRTELECOM-AS OJSC Rostelecom,RU:6:4:0.5903
294:11845:Vox-Telecom,ZA:4:4:0.5908
295:6876:TENET-AS TeNeT Scientific Production Enterprise LLC,UA:6:4:0.5914
296:8220:COLT COLT Technology Services Group Limited,GB:5:4:0.5919
297:15500:OJSC Rostelecom,RU:4:4:0.5924
298:55430:STARHUBINTERNET-AS-NGNBN Starhub Internet Pte Ltd,SG:4:4:0.5929
299:6849:UKRTELNET JSC UKRTELECOM,UA:10:4:0.5935
300:31272:WILDPARK-AS ISP WildPark, Ukraine, Nikolaev,UA:4:4:0.5940
301:14754:Telgua,GT:5:4:0.5945
302:1403:ELECTRONICBOX - ELECTRONIC BOX,CA:5:4:0.5950
303:7418:TELEFÓNICA CHILE S.A.,CL:4:4:0.5955
304:49463:ASN-LNC Les Nouveaux Constructeurs SA,FR:7:4:0.5961
305:28685:ASN-ROUTIT Routit BV,NL:4:4:0.5966
306:48200:OPTEAMAX-AS Opteamax GmbH,DE:4:4:0.5971
307:37457:Telkom-Internet,ZA:6:4:0.5976
308:17676:GIGAINFRA Softbank BB Corp.,JP:4:4:0.5981
309:20766:GITOYEN-MAIN-AS Association "Gitoyen",FR:5:4:0.5987
310:12145:COLORADOSTATEUNIV - Colorado State University,US:4:4:0.5992
311:20773:HOSTEUROPE-AS Host Europe GmbH,DE:7:4:0.5997
312:30783:RSD Rased Maral Ava Jonoob JSC,IR:6:4:0.6002
313:9269:HKBN-AS-AP Hong Kong Broadband Network Ltd.,HK:4:4:0.6008
314:4802:ASN-IINET iiNet Limited,AU:8:4:0.6013
315:32653:ENETWORKS,ZA:3:3:0.6017
316:12767:PRAGONET-AS T-Mobile Czech Republic a.s.,CZ:4:3:0.6021
